points,minsPlayed,goalsScored,assists,cleanSheets,goalsConceded,ownGoals,penSaved,penMissed,yelCards,redCards,saves,bonus,bonusPointSystem,influence,creativity,threat,ictIndex,netTransfers,selectedBy,costGBP,playerName,oppositionTeam
3.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23082.0,5.5,285,17
3.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.8,36.4,19.0,6.0,-823.0,34888.0,5.5,268,16
0.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,9.8,26.4,4.0,4.0,0.0,240975.0,5.0,264,14
7.0,90.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.6,10.4,4.0,3.2,0.0,36388.0,4.5,325,0
2.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7.2,0.3,17.0,2.5,-260.0,4930.0,5.0,207,8
7.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,8.2,31.3,10.0,5.0,111651.0,445991.0,9.5,339,14
2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.8,0.5,8.0,2.8,6169.0,7762.0,5.5,260,3
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.8,23.0,35.0,7.4,0.0,120632.0,5.5,137,6
2.0,73.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,58.6,23.0,9.9,0.0,471986.0,7.5,330,17
3.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,38.0,32.2,0.0,0.0,3.2,38079.0,349600.0,4.5,348,4
7.0,90.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11269.0,4.5,261,1
6.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,25.8,0.1,0.0,2.6,0.0,101537.0,5.0,281,1
1.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,47.0,0.3,33.0,8.0,-696.0,12720.0,4.5,254,4
7.0,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.6,2.8,4.0,2.5,834.0,128704.0,5.0,173,12
2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15272.0,4.5,306,2
1.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.6,15.2,2.0,2.2,463.0,911.0,4.5,84,10
1.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,16.6,0.0,0.0,1.7,8554.0,296170.0,5.5,210,16
0.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,14.2,0.8,0.0,1.5,0.0,103827.0,4.5,144,4
